Age;BMI;Tflight;THeight;2Axel
12;20.7756232686981;293;10.5;0
12;20.7756232686981;293;10.5;0
12;20.7756232686981;278;9.5;0
12;20.7756232686981;271;9;0
12;20.7756232686981;267;8.7;0
12;20.7756232686981;267;8.7;0
12;20.7756232686981;263;8.5;0
12;20.7756232686981;252;7.8;0
12;20.7756232686981;246;7.4;0
12;20.7756232686981;246;7.4;0
12;20.7756232686981;244;7.3;0
12;20.7756232686981;242;7.2;0
12;20.7756232686981;242;7.2;0
12;20.7756232686981;241;7.1;0
12;20.7756232686981;0.24;7.1;0
12;20.7756232686981;0.24;7.1;0
12;20.7756232686981;239;7;0
12;20.7756232686981;239;7;0
12;20.7756232686981;237;6.9;0
12;20.7756232686981;237;6.9;0
12;20.7756232686981;236;6.8;0
12;20.7756232686981;232;6.6;0
12;20.7756232686981;231;6.5;0
12;20.7756232686981;231;6.5;0
16;19.9183673469388;597;43.7;1
16;19.9183673469388;596;43.5;1
16;19.9183673469388;595;43.4;1
16;19.9183673469388;0.59;42.7;1
16;19.9183673469388;0.59;42.7;1
16;19.9183673469388;589;42.5;1
16;19.9183673469388;587;42.2;1
16;19.9183673469388;586;42.1;1
16;19.9183673469388;586;42.1;1
16;19.9183673469388;585;42;1
16;19.9183673469388;585;42;1
16;19.9183673469388;584;41.8;1
16;19.9183673469388;582;41.5;1
16;19.9183673469388;582;41.5;1
16;19.9183673469388;579;41.1;1
16;19.9183673469388;579;41.1;1
16;19.9183673469388;455;25.4;1
16;19.9183673469388;439;23.6;1
16;19.9183673469388;437;23.4;1
13;19.5716812826979;479;28.1;1
13;19.5716812826979;477;27.9;1
13;19.5716812826979;466;26.6;1
13;19.5716812826979;466;26.6;1
13;19.5716812826979;464;26.4;1
13;19.5716812826979;0.46;25.9;1
13;19.5716812826979;459;25.8;1
13;19.5716812826979;457;25.6;1
13;19.5716812826979;457;25.6;1
13;19.5716812826979;455;25.4;1
13;19.5716812826979;448;24.6;1
13;19.5716812826979;446;24.4;1
13;19.5716812826979;444;24.2;1
13;19.5716812826979;442;23.9;1
13;19.5716812826979;0.44;23.7;1
13;19.5716812826979;0.44;23.7;1
13;19.5716812826979;0.44;23.7;1
13;19.5716812826979;439;23.6;1
13;19.5716812826979;436;23.3;1
13;19.5716812826979;436;23.3;1
13;19.5716812826979;426;22.2;1
16;18.8189243102864;487;29.1;1
16;18.8189243102864;486;29;1
16;18.8189243102864;483;28.6;1
16;18.8189243102864;0.48;28.2;1
16;18.8189243102864;479;28.1;1
16;18.8189243102864;479;28.1;1
16;18.8189243102864;478;28;1
16;18.8189243102864;476;27.8;1
16;18.8189243102864;475;27.7;1
16;18.8189243102864;473;27.4;1
16;18.8189243102864;469;27;1
16;18.8189243102864;468;26.8;1
16;18.8189243102864;465;26.5;1
16;18.8189243102864;464;26.4;1
16;18.8189243102864;0.46;25.9;1
16;18.8189243102864;0.46;25.9;1
16;18.8189243102864;459;25.8;1
16;18.8189243102864;458;25.7;1
16;18.8189243102864;0.44;23.7;1
16;18.8189243102864;0.44;23.7;1
16;18.8189243102864;427;22.4;1
16;18.8189243102864;339;14.1;1
16;18.8189243102864;334;13.7;1
16;18.8189243102864;324;12.9;1
16;18.8189243102864;323;12.8;1
16;18.8189243102864;313;12;1
16;18.8189243102864;313;12;1
16;18.8189243102864;311;11.9;1
16;18.8189243102864;309;11.7;1
16;18.8189243102864;307;11.6;1
16;18.8189243102864;306;11.5;1
16;18.8189243102864;306;11.5;1
16;18.8189243102864;305;11.4;1
16;18.8189243102864;303;11.3;1
16;18.8189243102864;299;11;1
16;18.8189243102864;299;11;1
16;18.8189243102864;295;10.7;1
16;18.8189243102864;293;10.5;1
16;18.8189243102864;293;10.5;1
16;18.8189243102864;291;10.4;1
16;18.8189243102864;289;10.2;1
16;18.8189243102864;286;10;1
16;18.8189243102864;286;10;1
16;18.8189243102864;285;10;1
16;18.8189243102864;285;10;1
16;18.8189243102864;285;10;1
16;18.8189243102864;284;9.9;1
16;18.8189243102864;283;9.8;1
16;18.8189243102864;282;9.7;1
16;18.8189243102864;282;9.7;1
16;18.8189243102864;281;9.7;1
16;18.8189243102864;278;9.5;1
16;18.8189243102864;277;9.4;1
16;18.8189243102864;271;9;1
16;18.8189243102864;271;9;1
16;18.8189243102864;271;9;1
16;18.8189243102864;269;8.9;1
16;18.8189243102864;266;8.7;1
16;18.8189243102864;263;8.5;1
16;18.8189243102864;0.26;8.3;1
16;18.8189243102864;253;7.8;1
16;18.8189243102864;252;7.8;1
16;18.8189243102864;252;7.8;1
16;18.8189243102864;251;7.7;1
16;18.8189243102864;246;7.4;1
16;18.8189243102864;241;7.1;1
16;18.8189243102864;0.24;7.1;1
16;18.8189243102864;239;7;1
16;18.8189243102864;233;6.7;1
10;18.3673469387755;312;11.9;1
10;18.3673469387755;329;13.3;1
10;18.3673469387755;332;13.5;1
10;18.3673469387755;339;14.1;1
10;18.3673469387755;347;14.8;1
10;18.3673469387755;348;14.8;1
10;18.3673469387755;354;15.4;1
10;18.3673469387755;359;15.8;1
10;18.3673469387755;360;15.9;1
10;18.3673469387755;361;16;1
10;18.3673469387755;376;17.3;1
10;18.3673469387755;381;17.8;1
10;18.3673469387755;384;18.1;1
10;18.3673469387755;384;18.1;1
10;18.3673469387755;386;18.3;1
10;18.3673469387755;389;18.5;1
10;18.3673469387755;390;18.6;1
10;18.3673469387755;394;19;1
10;18.3673469387755;398;19.4;1
10;18.3673469387755;402;19.8;1
10;18.3673469387755;406;20.2;1
10;18.3673469387755;407;20.3;1
10;18.3673469387755;409;20.5;1
10;18.3673469387755;410;20.6;1
10;18.3673469387755;412;20.8;1
10;18.3673469387755;413;20.9;1
10;18.3673469387755;414;21;1
10;18.3673469387755;415;21.1;1
10;18.3673469387755;416;21.2;1
10;18.3673469387755;416;21.2;1
10;18.3673469387755;418;21.4;1
10;18.3673469387755;418;21.4;1
10;18.3673469387755;418;21.4;1
10;18.3673469387755;419;21.5;1
10;18.3673469387755;425;22.1;1
10;18.3673469387755;427;22.4;1
10;18.3673469387755;428;22.5;1
10;18.3673469387755;431;22.8;1
10;18.3673469387755;432;22.9;1
10;18.3673469387755;432;22.9;1
10;18.3673469387755;432;22.9;1
10;18.3673469387755;437;23.4;1
10;18.3673469387755;438;23.5;1
10;18.3673469387755;440;23.7;1
10;18.3673469387755;442;23.9;1
10;18.3673469387755;443;24.1;1
10;18.3673469387755;444;24.2;1
10;18.3673469387755;447;24.5;1
10;18.3673469387755;453;25.2;1
10;18.3673469387755;454;25.3;1
10;18.3673469387755;331;13.4;1
10;18.3673469387755;362;16.1;1
10;18.3673469387755;366;16.4;1
10;18.3673469387755;355;15.4;1
10;18.3673469387755;365;16.3;1
10;18.3673469387755;375;17.2;1
10;18.3673469387755;322;12.7;1
10;18.3673469387755;342;14.3;1
10;18.3673469387755;351;15.1;1
10;18.3673469387755;330;13.3;1
10;18.3673469387755;362;16.1;1
10;18.3673469387755;372;17;1
23;18.3654729109275;517;32.8;1
23;18.3654729109275;511;32;1
23;18.3654729109275;0.51;31.9;1
23;18.3654729109275;506;31.4;1
23;18.3654729109275;504;31.1;1
23;18.3654729109275;502;30.9;1
23;18.3654729109275;501;30.8;1
23;18.3654729109275;499;30.5;1
23;18.3654729109275;499;30.5;1
23;18.3654729109275;499;30.5;1
23;18.3654729109275;499;30.5;1
23;18.3654729109275;498;30.4;1
23;18.3654729109275;497;30.3;1
23;18.3654729109275;496;30.2;1
23;18.3654729109275;495;30;1
23;18.3654729109275;493;29.8;1
23;18.3654729109275;486;29;1
23;18.3654729109275;484;28.7;1
23;18.3654729109275;484;28.7;1
23;18.3654729109275;483;28.6;1
23;18.3654729109275;474;27.5;1
23;18.3654729109275;378;17.5;1
23;18.3654729109275;376;17.3;1
23;18.3654729109275;373;17.1;1
23;18.3654729109275;369;16.7;1
23;18.3654729109275;367;16.5;1
23;18.3654729109275;367;16.5;1
23;18.3654729109275;365;16.3;1
23;18.3654729109275;361;16;1
23;18.3654729109275;0.36;15.9;1
23;18.3654729109275;0.36;15.9;1
23;18.3654729109275;359;15.8;1
23;18.3654729109275;359;15.8;1
23;18.3654729109275;358;15.7;1
23;18.3654729109275;357;15.6;1
23;18.3654729109275;356;15.5;1
23;18.3654729109275;355;15.4;1
23;18.3654729109275;354;15.4;1
23;18.3654729109275;353;15.3;1
23;18.3654729109275;352;15.2;1
23;18.3654729109275;352;15.2;1
23;18.3654729109275;351;15.1;1
23;18.3654729109275;344;14.5;1
23;18.3654729109275;337;13.9;1
11;18.2615047479912;362;16.1;1
11;18.2615047479912;376;17.3;1
11;18.2615047479912;378;17.5;1
11;18.2615047479912;379;17.6;1
11;18.2615047479912;388;18.5;1
11;18.2615047479912;394;19;1
11;18.2615047479912;396;19.2;1
11;18.2615047479912;396;19.2;1
11;18.2615047479912;399;19.5;1
11;18.2615047479912;401;19.7;1
11;18.2615047479912;403;19.9;1
11;18.2615047479912;403;19.9;1
11;18.2615047479912;405;20.1;1
11;18.2615047479912;408;20.4;1
11;18.2615047479912;409;20.5;1
11;18.2615047479912;410;20.6;1
11;18.2615047479912;410;20.6;1
11;18.2615047479912;410;20.6;1
11;18.2615047479912;411;20.7;1
11;18.2615047479912;412;20.8;1
11;18.2615047479912;415;21.1;1
11;18.2615047479912;415;21.1;1
11;18.2615047479912;419;21.5;1
11;18.2615047479912;435;23.2;1
11;18.2615047479912;400;19.6;1
11;18.2615047479912;402;19.8;1
11;18.2615047479912;402;19.8;1
11;18.2615047479912;405;20.1;1
11;18.2615047479912;410;20.6;1
11;18.2615047479912;410;20.6;1
11;18.2615047479912;414;21;1
11;18.2615047479912;415;21.1;1
11;18.2615047479912;419;21.5;1
11;18.2615047479912;420;21.6;1
11;18.2615047479912;423;21.9;1
11;18.2615047479912;423;21.9;1
11;18.2615047479912;423;21.9;1
11;18.2615047479912;424;22;1
11;18.2615047479912;425;22.1;1
11;18.2615047479912;426;22.2;1
11;18.2615047479912;430;22.7;1
11;18.2615047479912;435;23.2;1
11;18.2615047479912;435;23.2;1
11;18.2615047479912;436;23.3;1
11;18.2615047479912;437;23.4;1
11;18.2615047479912;444;24.2;1
11;18.2615047479912;411;20.7;1
11;18.2615047479912;416;21.2;1
11;18.2615047479912;438;23.5;1
11;18.2615047479912;210;5.4;1
11;18.2615047479912;437;23.4;1
11;18.2615047479912;449;24.7;1
11;18.2615047479912;457;25.6;1
11;18.2615047479912;417;21.3;1
11;18.2615047479912;441;23.8;1
11;18.2615047479912;456;25.5;1
11;18.2615047479912;455;25.4;1
11;18.2615047479912;475;27.7;1
11;18.2615047479912;491;29.6;1
10;17.8213410559145;257;8.1;1
10;17.8213410559145;257;8.1;1
10;17.8213410559145;258;8.2;1
10;17.8213410559145;370;16.8;1
10;17.8213410559145;390;18.6;1
10;17.8213410559145;390;18.6;1
10;17.8213410559145;391;18.7;1
10;17.8213410559145;393;18.9;1
10;17.8213410559145;393;18.9;1
10;17.8213410559145;394;19;1
10;17.8213410559145;397;19.3;1
10;17.8213410559145;397;19.3;1
10;17.8213410559145;398;19.4;1
10;17.8213410559145;405;20.1;1
10;17.8213410559145;406;20.2;1
10;17.8213410559145;406;20.2;1
10;17.8213410559145;408;20.4;1
10;17.8213410559145;413;20.9;1
10;17.8213410559145;415;21.1;1
10;17.8213410559145;418;21.4;1
10;17.8213410559145;423;21.9;1
10;17.8213410559145;427;22.4;1
10;17.8213410559145;428;22.5;1
10;17.8213410559145;431;22.8;1
10;17.8213410559145;437;23.4;1
10;17.8213410559145;444;24.2;1
10;17.8213410559145;451;24.9;1
10;17.8213410559145;451;24.9;1
10;17.8213410559145;451;24.9;1
10;17.8213410559145;463;26.3;1
10;17.8213410559145;474;27.5;1
10;17.8213410559145;379;17.6;1
10;17.8213410559145;382;17.9;1
10;17.8213410559145;390;18.6;1
10;17.8213410559145;397;19.3;1
10;17.8213410559145;400;19.6;1
10;17.8213410559145;403;19.9;1
10;17.8213410559145;404;20;1
10;17.8213410559145;405;20.1;1
10;17.8213410559145;406;20.2;1
10;17.8213410559145;411;20.7;1
10;17.8213410559145;411;20.7;1
10;17.8213410559145;416;21.2;1
10;17.8213410559145;417;21.3;1
10;17.8213410559145;419;21.5;1
10;17.8213410559145;421;21.7;1
10;17.8213410559145;422;21.8;1
10;17.8213410559145;428;22.5;1
10;17.8213410559145;434;23.1;1
10;17.8213410559145;441;23.8;1
10;17.8213410559145;448;24.6;1
10;17.8213410559145;448;24.6;1
10;17.8213410559145;449;24.7;1
10;17.8213410559145;450;24.8;1
10;17.8213410559145;450;24.8;1
10;17.8213410559145;454;25.3;1
10;17.8213410559145;465;26.5;1
10;17.8213410559145;468;26.8;1
10;17.8213410559145;481;28.4;1
10;17.8213410559145;365;16.3;1
10;17.8213410559145;392;18.8;1
10;17.8213410559145;396;19.2;1
10;17.8213410559145;135;2.2;1
10;17.8213410559145;169;3.5;1
10;17.8213410559145;404;20;1
10;17.8213410559145;412;20.8;1
10;17.8213410559145;393;18.9;1
10;17.8213410559145;406;20.2;1
10;17.8213410559145;428;22.5;1
10;17.8213410559145;359;15.8;1
10;17.8213410559145;372;17;1
10;17.8213410559145;415;21.1;1
10;17.8213410559145;332;13.5;1
10;17.8213410559145;386;18.3;1
10;17.8213410559145;404;20;1
10;17.8213410559145;421;21.7;1
10;17.8213410559145;433;23;1
10;17.8213410559145;446;24.4;1
10;17.8213410559145;453;25.2;1
10;17.8213410559145;355;15.4;1
10;17.8213410559145;397;19.3;1
10;17.8213410559145;405;20.1;1
10;17.8213410559145;448;24.6;1
10;17.8213410559145;451;24.9;1
10;17.8213410559145;461;26.1;1
13;17.4817898022893;451;24.9;0
13;17.4817898022893;438;23.5;0
13;17.4817898022893;436;23.3;0
13;17.4817898022893;433;23;0
13;17.4817898022893;429;22.6;0
13;17.4817898022893;429;22.6;0
13;17.4817898022893;427;22.4;0
13;17.4817898022893;427;22.4;0
13;17.4817898022893;426;22.2;0
13;17.4817898022893;426;22.2;0
13;17.4817898022893;425;22.1;0
13;17.4817898022893;424;22;0
13;17.4817898022893;415;21.1;0
13;17.4817898022893;412;20.8;0
13;17.4817898022893;411;20.7;0
13;17.4817898022893;0.41;20.6;0
13;17.4817898022893;407;20.3;0
13;17.4817898022893;399;19.5;0
13;17.4817898022893;394;19;0
13;17.4817898022893;391;18.7;0
13;17.4817898022893;0.39;18.6;0
13;17.4817898022893;386;18.3;0
13;17.4817898022893;324;12.9;0
13;17.4817898022893;312;11.9;0
13;17.4817898022893;302;11.2;0
13;17.4817898022893;301;11.1;0
13;17.4817898022893;296;10.7;0
13;17.4817898022893;295;10.7;0
13;17.4817898022893;295;10.7;0
13;17.4817898022893;293;10.5;0
13;17.4817898022893;289;10.2;0
13;17.4817898022893;288;10.2;0
13;17.4817898022893;285;10;0
13;17.4817898022893;284;9.9;0
13;17.4817898022893;0.28;9.6;0
13;17.4817898022893;0.28;9.6;0
13;17.4817898022893;279;9.5;0
13;17.4817898022893;278;9.5;0
13;17.4817898022893;277;9.4;0
13;17.4817898022893;275;9.3;0
13;17.4817898022893;274;9.2;0
13;17.4817898022893;271;9;0
13;17.4817898022893;0.27;8.9;0
13;17.4817898022893;266;8.7;0
13;17.4817898022893;263;8.5;0
13;17.4817898022893;263;8.5;0
13;17.4817898022893;258;8.2;0
13;17.4817898022893;257;8.1;0
13;17.4817898022893;255;8;0
13;17.4817898022893;253;7.8;0
13;17.4817898022893;249;7.6;0
13;17.4817898022893;249;7.6;0
13;17.4817898022893;248;7.5;0
13;17.4817898022893;248;7.5;0
13;17.4817898022893;246;7.4;0
13;17.4817898022893;244;7.3;0
13;17.4817898022893;244;7.3;0
13;17.4817898022893;243;7.2;0
13;17.4817898022893;243;7.2;0
13;17.4817898022893;239;7;0
13;17.4817898022893;239;7;0
13;17.4817898022893;239;7;0
13;17.4817898022893;237;6.9;0
13;17.4817898022893;0.23;6.5;0
13;17.4817898022893;0.23;6.5;0
10;17.3578532557703;329;13.3;1
10;17.3578532557703;335;13.8;1
10;17.3578532557703;343;14.4;1
10;17.3578532557703;359;15.8;1
10;17.3578532557703;361;16;1
10;17.3578532557703;362;16.1;1
10;17.3578532557703;372;17;1
10;17.3578532557703;373;17.1;1
10;17.3578532557703;376;17.3;1
10;17.3578532557703;386;18.3;1
10;17.3578532557703;387;18.4;1
10;17.3578532557703;390;18.6;1
10;17.3578532557703;392;18.8;1
10;17.3578532557703;393;18.9;1
10;17.3578532557703;396;19.2;1
10;17.3578532557703;396;19.2;1
10;17.3578532557703;401;19.7;1
10;17.3578532557703;402;19.8;1
10;17.3578532557703;407;20.3;1
10;17.3578532557703;408;20.4;1
10;17.3578532557703;414;21;1
10;17.3578532557703;418;21.4;1
10;17.3578532557703;423;21.9;1
10;17.3578532557703;125;1.9;1
10;17.3578532557703;356;15.5;1
10;17.3578532557703;364;16.2;1
10;17.3578532557703;384;18.1;1
10;17.3578532557703;355;15.4;1
10;17.3578532557703;374;17.1;1
10;17.3578532557703;395;19.1;1
10;17.3578532557703;377;17.4;1
10;17.3578532557703;408;20.4;1
10;17.3578532557703;409;20.5;1
10;17.3578532557703;399;19.5;1
10;17.3578532557703;400;19.6;1
10;17.3578532557703;406;20.2;1
12;17.3333333333333;591;42.8;0
12;17.3333333333333;0.57;39.8;0
12;17.3333333333333;557;38;0
12;17.3333333333333;549;36.9;0
12;17.3333333333333;541;35.9;0
12;17.3333333333333;0.54;35.7;0
12;17.3333333333333;538;35.5;0
12;17.3333333333333;533;34.8;0
12;17.3333333333333;0.53;34.4;0
12;17.3333333333333;528;34.2;0
12;17.3333333333333;527;34;0
12;17.3333333333333;521;33.3;0
12;17.3333333333333;0.52;33.1;0
12;17.3333333333333;516;32.6;0
12;17.3333333333333;515;32.5;0
12;17.3333333333333;495;30;0
12;17.3333333333333;487;29.1;0
12;17.3333333333333;459;25.8;0
12;17.3333333333333;433;23;0
12;17.3333333333333;452;25;0
12;17.3333333333333;452;25;0
12;17.3333333333333;469;27;0
12;17.3333333333333;469;27;0
12;17.3333333333333;486;29;0
12;17.3333333333333;500;36;0
12;17.3333333333333;426;22.2;0
12;17.3333333333333;427;22.4;0
12;17.3333333333333;434;23.1;0
12;17.3333333333333;434;23.1;0
12;17.3333333333333;435;23.2;0
12;17.3333333333333;438;23.5;0
12;17.3333333333333;439;23.6;0
12;17.3333333333333;439;23.6;0
12;17.3333333333333;439;23.6;0
12;17.3333333333333;440;23.7;0
12;17.3333333333333;441;23.8;0
12;17.3333333333333;441;23.8;0
12;17.3333333333333;443;24.1;0
12;17.3333333333333;444;24.2;0
12;17.3333333333333;445;24.3;0
12;17.3333333333333;446;24.4;0
12;17.3333333333333;447;24.5;0
12;17.3333333333333;447;24.5;0
12;17.3333333333333;448;24.6;0
12;17.3333333333333;449;24.7;0
12;17.3333333333333;449;24.7;0
12;17.3333333333333;449;24.7;0
12;17.3333333333333;451;24.9;0
12;17.3333333333333;456;25.5;0
12;17.3333333333333;459;25.8;0
12;17.3333333333333;460;25.9;0
12;17.3333333333333;462;26.2;0
12;17.3333333333333;463;26.3;0
12;17.3333333333333;463;26.3;0
12;17.3333333333333;465;26.5;0
12;17.3333333333333;465;26.5;0
12;17.3333333333333;468;26.8;0
12;17.3333333333333;470;27.1;0
12;17.3333333333333;470;27.1;0
12;17.3333333333333;471;27.2;0
12;17.3333333333333;472;27.3;0
12;17.3333333333333;473;27.4;0
12;17.3333333333333;489;29.3;0
12;17.3333333333333;492;29.7;0
12;17.3333333333333;434;23.1;0
12;17.3333333333333;434;23.1;0
12;17.3333333333333;439;23.6;0
12;17.3333333333333;439;23.6;0
12;17.3333333333333;440;23.7;0
12;17.3333333333333;441;23.8;0
12;17.3333333333333;445;24.3;0
12;17.3333333333333;447;24.5;0
12;17.3333333333333;449;24.7;0
12;17.3333333333333;451;24.9;0
12;17.3333333333333;452;25;0
12;17.3333333333333;459;25.8;0
12;17.3333333333333;463;26.3;0
12;17.3333333333333;463;26.3;0
12;17.3333333333333;468;26.8;0
12;17.3333333333333;469;27;0
12;17.3333333333333;469;27;0
12;17.3333333333333;470;27.1;0
12;17.3333333333333;472;27.3;0
12;17.3333333333333;427;22.4;0
12;17.3333333333333;433;23;0
12;17.3333333333333;441;23.8;0
12;17.3333333333333;443;24.1;0
12;17.3333333333333;444;24.2;0
12;17.3333333333333;447;24.5;0
12;17.3333333333333;448;24.6;0
12;17.3333333333333;449;24.7;0
12;17.3333333333333;465;26.5;0
12;17.3333333333333;470;27.1;0
12;17.3333333333333;471;27.2;0
12;17.3333333333333;486;29;0
12;17.3333333333333;489;29.3;0
12;17.3333333333333;492;29.7;0
12;17.3333333333333;500;30.6;0
12;17.3333333333333;438;23.5;0
12;17.3333333333333;439;23.6;0
12;17.3333333333333;446;24.4;0
12;17.3333333333333;426;22.2;0
12;17.3333333333333;435;23.2;0
12;17.3333333333333;449;24.7;0
12;17.3333333333333;452;25;0
12;17.3333333333333;462;26.2;0
12;17.3333333333333;465;26.5;0
12;17.3333333333333;456;25.5;0
12;17.3333333333333;460;25.9;0
12;17.3333333333333;473;27.4;0
11;16.8617337829796;372;17;1
11;16.8617337829796;372;17;1
11;16.8617337829796;383;18;1
11;16.8617337829796;383;18;1
11;16.8617337829796;405;21;1
11;16.8617337829796;414;21;1
11;16.8617337829796;410;26;1
11;16.8617337829796;337;13.9;1
11;16.8617337829796;345;14.6;1
11;16.8617337829796;352;15.2;1
11;16.8617337829796;355;15.4;1
11;16.8617337829796;355;15.4;1
11;16.8617337829796;356;15.5;1
11;16.8617337829796;356;15.5;1
11;16.8617337829796;357;15.6;1
11;16.8617337829796;358;15.7;1
11;16.8617337829796;358;15.7;1
11;16.8617337829796;366;16.4;1
11;16.8617337829796;367;16.5;1
11;16.8617337829796;368;16.6;1
11;16.8617337829796;368;16.6;1
11;16.8617337829796;370;16.8;1
11;16.8617337829796;370;16.8;1
11;16.8617337829796;370;16.8;1
11;16.8617337829796;374;17.1;1
11;16.8617337829796;374;17.1;1
11;16.8617337829796;377;17.4;1
11;16.8617337829796;377;17.4;1
11;16.8617337829796;378;17.5;1
11;16.8617337829796;379;17.6;1
11;16.8617337829796;380;17.7;1
11;16.8617337829796;380;17.7;1
11;16.8617337829796;381;17.8;1
11;16.8617337829796;392;18.8;1
11;16.8617337829796;393;18.9;1
11;16.8617337829796;395;19.1;1
11;16.8617337829796;397;19.3;1
11;16.8617337829796;400;19.6;1
11;16.8617337829796;401;19.7;1
11;16.8617337829796;415;21.1;1
11;16.8617337829796;418;21.4;1
11;16.8617337829796;418;21.4;1
11;16.8617337829796;418;21.4;1
11;16.8617337829796;419;21.5;1
11;16.8617337829796;421;21.7;1
9;16.8617337829796;119;1.7;0
9;16.8617337829796;367;16.5;0
9;16.8617337829796;374;17.1;0
9;16.8617337829796;393;18.9;0
9;16.8617337829796;405;20.1;0
9;16.8617337829796;410;20.6;0
9;16.8617337829796;414;21;0
9;16.8617337829796;415;21.1;0
9;16.8617337829796;418;21.4;0
9;16.8617337829796;418;21.4;0
9;16.8617337829796;419;21.5;0
9;16.8617337829796;345;14.6;0
9;16.8617337829796;355;15.4;0
9;16.8617337829796;355;15.4;0
9;16.8617337829796;357;15.6;0
9;16.8617337829796;366;16.4;0
9;16.8617337829796;368;16.6;0
9;16.8617337829796;368;16.6;0
9;16.8617337829796;370;16.8;0
9;16.8617337829796;370;16.8;0
9;16.8617337829796;370;16.8;0
9;16.8617337829796;372;17;0
9;16.8617337829796;372;17;0
9;16.8617337829796;374;17.1;0
9;16.8617337829796;377;17.4;0
9;16.8617337829796;378;17.5;0
9;16.8617337829796;380;17.7;0
9;16.8617337829796;380;17.7;0
9;16.8617337829796;383;18;0
9;16.8617337829796;395;19.1;0
9;16.8617337829796;401;19.7;0
9;16.8617337829796;383;18;0
9;16.8617337829796;400;19.6;0
9;16.8617337829796;421;21.7;0
